RideNumber,Date,Time,Distance,Time_Min,Time_Sec,Amount,Tip,Cancel,LyftLine
1,12/2/2017,12:35AM,3.81,16,55,5.92,1,No, No 
2,12/2/2017,1:32AM,1.92,7,3,3.37,0,No, No 
3,12/2/2017,1:41AM,1.51,6,41,5.06,1,No, No 
4,12/2/2017,1:59AM,6.23,13,7,11.2,5,No, No 
5,12/2/2017,2:23AM,6.79,14,58,14.24,0,No, No 
6,12/2/2017,2:45AM,0,0,0,5,0,Yes, No 
7,12/2/2017,9:44PM,16.73,25,17,17.58,0,No, No 
8,12/2/2017,10:26PM,5.59,16,24,7.33,0,No, No 
9,12/2/2017,11:10PM,14.71,24,39,15.84,0,No, No 
10,12/2/2017,11:53PM,3.34,13,35,5.14,5,No, No 
11,12/3/2017,12:09AM,1.43,4,12,3.37,0,No, No 
12,12/5/2017,2:45PM,46.7,,,45.43,10,No, Yes 
13,12/13/2017,2:54PM,11.78,36,12,12.93,7,No, No 
14,12/13/2017,2:06PM,12.82,18,31,13.55,2,No, No 
15,12/13/2017,1:52PM,2.08,8,39,3.49,1,No, No 
16,12/17/2017,7:47PM,3.06,8,10,4.25,2,No, No 
17,12/17/2017,8:04PM,4.15,10,21,5.42,2,No, No 
18,12/17/2017,8:45PM,2.62,7,4,3.76,1,No, No 
19,12/17/2017,9:25PM,3.88,12,13,5.41,0,No, No 
20,12/17/2017,10:05PM,6.48,14,29,7.84,5,No, No 
21,12/17/2017,10:51PM,3.37,2,4,39,2,No, No 
22,12/17/2017,11:17PM,2.92,8,36,4.19,0,No, No 
23,12/17/2017,11:38PM,1.77,8,11,3.37,0,No, No 
24,12/17/2017,11:58PM,6.69,14,52,14.1,0,No, No 
25,12/18/2017,1:12AM,0.82,3,43,3.37,0,No, No 
26,12/18/2017,1:19AM,1.68,4,36,3.37,0,No, No 
27,12/18/2017,1:41AM,1.94,7,9,3.37,0,No, No 
28,12/18/2017,2:07AM,6.75,15,1,12.19,0,No, No 
29,12/22/2017,11:57PM,5.18,12,32,6.53,5,No, No 
30,12/23/2017,12:53AM,2.34,8,53,3.75,1,No, No 
31,12/23/2017,1:08AM,0,0,0,5,0,Yes, No 
32,12/23/2017,1:48AM,2.09,6,1,10.2,2,No, No 
33,12/23/2017,2:02AM,4.18,9,26,26.62,0,No, No 
34,12/23/2017,2:23AM,8.23,17,19,19.23,0,No, No 
35,12/23/2017,2:59AM,6.44,18,42,20.77,0,No, No 
36,12/27/2017,5:05PM,6.51,16,30,8.1,0,No, No 
37,12/29/2017,4:32PM,2.53,12,41,4.36,0,No, No 
38,12/29/2017,5:25PM,3.75,9,52,5.02,2,No, No 
39,12/29/2017,6:16PM,3.85,11,21,5.29,0,No, No 
40,12/29/2017,8:57PM,5.22,14,30,6.79,0,No, No 
41,12/29/2017,9:23PM,1.41,6,31,3.37,0,No, No 
42,12/29/2017,9:50PM,1.22,4,30,3.37,0,No, No 
43,12/29/2017,10:33PM,0.81,3,32,3.27,0,No, No 
44,12/29/2017,10:45:PM,3.9,10,4,5.17,1,No, No 
45,12/29/2017,11:01PM,4.05,8,50,5.14,3,No, No 
46,12/29/2017,11:19PM,0.5,2,10,3.37,1,No, No 
47,12/30/2017,12:32AM,4.55,10,35,5.77,5,No, No 
48,12/30/2017,1:05AM,1.09,5,4,3.37,0,No, No 
49,12/30/2017,1:17AM,4.05,11,18,5.45,0,No, No 
50,12/30/2017,1:34AM,1.26,6,31,8.44,0,No, No 
51,12/30/2017,1:48AM,6.47,19,52,38.14,0,No, No 
52,12/30/2017,2:16AM,2.4,7,23,3.61,11,No, No 
53,12/30/2017,2:32AM,8.78,15,32,9.85,0,No, No 
